route_id,schedule_id
route_54.0,schedule_0
route_54.0,schedule_1
route_54.0,schedule_2
route_54.0,schedule_3
route_54.0,schedule_4
route_52.0,schedule_5
route_52.0,schedule_6
route_52.0,schedule_7
route_52.0,schedule_8
route_52.0,schedule_9
route_52.0,schedule_10
route_28.0,schedule_11
route_28.0,schedule_12
route_28.0,schedule_13
route_28.0,schedule_14
route_28.0,schedule_15
route_30.0,schedule_16
route_30.0,schedule_17
route_30.0,schedule_18
route_30.0,schedule_19
route_30.0,schedule_20
route_27.0,schedule_21
route_27.0,schedule_22
route_27.0,schedule_23
route_29.0,schedule_24
route_29.0,schedule_25
route_29.0,schedule_26
route_31.0,schedule_27
route_31.0,schedule_28
route_32.0,schedule_29
route_32.0,schedule_30
route_32.0,schedule_31
route_32.0,schedule_32
route_32.0,schedule_33
route_32.0,schedule_34
route_32.0,schedule_35
route_32.0,schedule_36
route_32.0,schedule_37
route_32.0,schedule_38
route_32.0,schedule_39
route_32.0,schedule_40
route_32.0,schedule_41
route_32.0,schedule_42
route_33.0,schedule_43
route_33.0,schedule_44
route_33.0,schedule_45
route_33.0,schedule_46
route_33.0,schedule_47
route_33.0,schedule_48
route_34.0,schedule_49
route_34.0,schedule_50
route_34.0,schedule_51
route_34.0,schedule_52
route_34.0,schedule_53
route_34.0,schedule_54
route_34.0,schedule_55
route_34.0,schedule_56
route_34.0,schedule_57
route_34.0,schedule_58
route_34.0,schedule_59
route_34.0,schedule_60
route_34.0,schedule_61
route_34.0,schedule_62
route_34.0,schedule_63
route_34.0,schedule_64
route_35.0,schedule_65
route_35.0,schedule_66
route_35.0,schedule_67
route_35.0,schedule_68
route_35.0,schedule_69
route_35.0,schedule_70
route_35.0,schedule_71
route_38.0,schedule_72
route_38.0,schedule_73
route_38.0,schedule_74
route_38.0,schedule_75
route_38.0,schedule_76
route_38.0,schedule_77
route_38.0,schedule_78
route_38.0,schedule_79
route_38.0,schedule_80
route_38.0,schedule_81
route_36.0,schedule_82
route_36.0,schedule_83
route_36.0,schedule_84
route_36.0,schedule_85
route_36.0,schedule_86
route_36.0,schedule_87
route_37.0,schedule_88
route_37.0,schedule_89
route_37.0,schedule_90
route_37.0,schedule_91
route_37.0,schedule_92
route_37.0,schedule_93
route_37.0,schedule_94
route_37.0,schedule_95
route_37.0,schedule_96
route_37.0,schedule_97
route_37.0,schedule_98
route_37.0,schedule_99
route_37.0,schedule_100
route_37.0,schedule_101
route_37.0,schedule_102
route_37.0,schedule_103
route_37.0,schedule_104
route_37.0,schedule_105
route_37.0,schedule_106
route_37.0,schedule_107
route_37.0,schedule_108
route_37.0,schedule_109
route_37.0,schedule_110
route_37.0,schedule_111
route_37.0,schedule_112
route_37.0,schedule_113
route_37.0,schedule_114
route_37.0,schedule_115
route_39.0,schedule_116
route_39.0,schedule_117
route_39.0,schedule_118
route_39.0,schedule_119
route_39.0,schedule_120
route_39.0,schedule_121
route_39.0,schedule_122
route_39.0,schedule_123
route_40.0,schedule_124
route_40.0,schedule_125
route_40.0,schedule_126
route_40.0,schedule_127
route_40.0,schedule_128
route_40.0,schedule_129
route_40.0,schedule_130
route_40.0,schedule_131
route_40.0,schedule_132
route_40.0,schedule_133
route_40.0,schedule_134
route_40.0,schedule_135
route_40.0,schedule_136
route_40.0,schedule_137
route_40.0,schedule_138
route_40.0,schedule_139
route_40.0,schedule_140
route_40.0,schedule_141
route_40.0,schedule_142
route_40.0,schedule_143
route_40.0,schedule_144
route_40.0,schedule_145
route_40.0,schedule_146
route_41.0,schedule_147
route_41.0,schedule_148
route_41.0,schedule_149
route_41.0,schedule_150
route_41.0,schedule_151
route_42.0,schedule_152
route_42.0,schedule_153
route_42.0,schedule_154
route_42.0,schedule_155
route_42.0,schedule_156
route_42.0,schedule_157
route_43.0,schedule_158
route_43.0,schedule_159
route_44.0,schedule_160
route_44.0,schedule_161
route_44.0,schedule_162
route_44.0,schedule_163
route_44.0,schedule_164
route_44.0,schedule_165
route_46.0,schedule_166
route_46.0,schedule_167
route_46.0,schedule_168
route_46.0,schedule_169
route_46.0,schedule_170
route_46.0,schedule_171
route_46.0,schedule_172
route_46.0,schedule_173
route_46.0,schedule_174
route_46.0,schedule_175
route_46.0,schedule_176
route_46.0,schedule_177
route_46.0,schedule_178
route_46.0,schedule_179
route_46.0,schedule_180
route_46.0,schedule_181
route_46.0,schedule_182
route_46.0,schedule_183
route_46.0,schedule_184
route_46.0,schedule_185
route_46.0,schedule_186
route_46.0,schedule_187
route_46.0,schedule_188
route_46.0,schedule_189
route_46.0,schedule_190
route_46.0,schedule_191
route_46.0,schedule_192
route_46.0,schedule_193
route_46.0,schedule_194
route_46.0,schedule_195
route_46.0,schedule_196
route_46.0,schedule_197
route_47.0,schedule_198
route_47.0,schedule_199
route_47.0,schedule_200
route_47.0,schedule_201
route_47.0,schedule_202
route_47.0,schedule_203
route_47.0,schedule_204
route_47.0,schedule_205
route_48.0,schedule_206
route_48.0,schedule_207
route_48.0,schedule_208
route_48.0,schedule_209
route_48.0,schedule_210
route_48.0,schedule_211
route_48.0,schedule_212
route_48.0,schedule_213
route_48.0,schedule_214
route_48.0,schedule_215
route_48.0,schedule_216
route_48.0,schedule_217
route_48.0,schedule_218
route_48.0,schedule_219
route_48.0,schedule_220
route_48.0,schedule_221
route_48.0,schedule_222
route_49.0,schedule_223
route_49.0,schedule_224
route_49.0,schedule_225
route_49.0,schedule_226
route_49.0,schedule_227
route_49.0,schedule_228
route_45.0,schedule_229
route_45.0,schedule_230
route_45.0,schedule_231
route_45.0,schedule_232
route_45.0,schedule_233
route_45.0,schedule_234
route_45.0,schedule_235
route_45.0,schedule_236
route_45.0,schedule_237
route_45.0,schedule_238
route_45.0,schedule_239
route_45.0,schedule_240
route_45.0,schedule_241
route_45.0,schedule_242
route_45.0,schedule_243
route_45.0,schedule_244
route_45.0,schedule_245
route_nan,schedule_246
route_nan,schedule_247
route_nan,schedule_248
route_nan,schedule_249
route_nan,schedule_250
route_nan,schedule_251
route_nan,schedule_252
route_nan,schedule_253
route_50.0,schedule_254
route_50.0,schedule_255
route_51.0,schedule_256
route_53.0,schedule_257
route_53.0,schedule_258
route_53.0,schedule_259
route_53.0,schedule_260
route_53.0,schedule_261
route_53.0,schedule_262
route_25.0,schedule_263
route_25.0,schedule_264
route_25.0,schedule_265
route_25.0,schedule_266
route_25.0,schedule_267
route_25.0,schedule_268
route_24.0,schedule_269
route_24.0,schedule_270
route_24.0,schedule_271
route_24.0,schedule_272
route_23.0,schedule_273
route_26.0,schedule_274
route_10.0,schedule_275
route_10.0,schedule_276
route_10.0,schedule_277
route_10.0,schedule_278
route_10.0,schedule_279
route_10.0,schedule_280
route_10.0,schedule_281
route_10.0,schedule_282
route_1.0,schedule_283
route_1.0,schedule_284
route_1.0,schedule_285
route_1.0,schedule_286
route_1.0,schedule_287
route_1.0,schedule_288
route_1.0,schedule_289
route_1.0,schedule_290
route_1.0,schedule_291
route_2.0,schedule_292
route_2.0,schedule_293
route_2.0,schedule_294
route_2.0,schedule_295
route_11.0,schedule_296
route_11.0,schedule_297
route_11.0,schedule_298
route_11.0,schedule_299
route_11.0,schedule_300
route_11.0,schedule_301
route_17.0,schedule_302
route_17.0,schedule_303
route_nan,schedule_304
route_nan,schedule_305
route_nan,schedule_306
route_12.0,schedule_307
route_12.0,schedule_308
route_18.0,schedule_309
route_19.0,schedule_310
route_19.0,schedule_311
route_19.0,schedule_312
route_3.0,schedule_313
route_3.0,schedule_314
route_3.0,schedule_315
route_3.0,schedule_316
route_3.0,schedule_317
route_3.0,schedule_318
route_3.0,schedule_319
route_3.0,schedule_320
route_3.0,schedule_321
route_3.0,schedule_322
route_3.0,schedule_323
route_3.0,schedule_324
route_3.0,schedule_325
route_3.0,schedule_326
route_3.0,schedule_327
route_3.0,schedule_328
route_3.0,schedule_329
route_13.0,schedule_330
route_13.0,schedule_331
route_13.0,schedule_332
route_13.0,schedule_333
route_4.0,schedule_334
route_14.0,schedule_335
route_15.0,schedule_336
route_15.0,schedule_337
route_15.0,schedule_338
route_15.0,schedule_339
route_16.0,schedule_340
route_16.0,schedule_341
route_16.0,schedule_342
route_16.0,schedule_343
route_16.0,schedule_344
route_16.0,schedule_345
route_16.0,schedule_346
route_16.0,schedule_347
route_16.0,schedule_348
route_16.0,schedule_349
route_16.0,schedule_350
route_16.0,schedule_351
route_16.0,schedule_352
route_16.0,schedule_353
