trip_id,Trip_SequenceNo.,Trip_Origin,Trip_Destination,Trip_Length,Trip_TimingFrom,Trip_TimingTo,Trip_Duration
trip_0,1,CSB,SVM,9.7,06:00:00,06:40:00,00:40:00
trip_1,2,SVM,CSB,9.7,06:45:00,07:25:00,00:40:00
trip_2,3,CSB,SVM,9.7,07:30:00,08:10:00,00:40:00
trip_3,4,SVM,CSB,9.7,08:15:00,08:55:00,00:40:00
trip_4,5,CSB,SVM,9.7,09:00:00,09:40:00,00:40:00
trip_5,6,SVM,CSB,9.7,10:10:00,10:50:00,00:40:00
trip_6,7,CSB,SVM,9.7,10:55:00,11:35:00,00:40:00
trip_7,8,SVM,CSB,9.7,11:40:00,12:10:00,00:30:00
trip_8,9,CSB,KRP,24.1,12:15:00,13:30:00,01:15:00
trip_9,10,KRP,BMT-29,0.4,13:35:00,13:40:00,00:05:00
trip_10,11,BMT-29,KRP,0.4,14:45:00,14:50:00,00:05:00
trip_11,12,KRP,CSB,24.1,14:55:00,16:10:00,01:15:00
trip_12,13,CSB,SVM,9.7,16:15:00,16:45:00,00:30:00
trip_13,14,SVM,CSB,9.7,16:50:00,17:30:00,00:40:00
trip_14,15,CSB,SVM,9.7,17:35:00,18:15:00,00:40:00
trip_15,16,SVM,CSB,9.7,18:20:00,19:00:00,00:40:00
trip_16,17,CSB,SVM,9.7,19:05:00,19:45:00,00:40:00
trip_17,18,SVM,CSB,9.7,19:50:00,20:30:00,00:40:00
trip_18,19,CSB,SVM,9.7,21:00:00,21:40:00,00:40:00
trip_19,20,SVM,CSB,9.7,21:45:00,22:25:00,00:40:00
trip_20,1,CSB,SVM,9.7,06:30:00,07:10:00,00:40:00
trip_21,2,SVM,CSB,9.7,07:15:00,07:55:00,00:40:00
trip_22,3,CSB,SVM,9.7,08:00:00,08:40:00,00:40:00
trip_23,4,SVM,CSB,9.7,08:45:00,09:25:00,00:40:00
trip_24,5,CSB,SVM,9.7,09:30:00,10:10:00,00:40:00
trip_25,6,SVM,CSB,9.7,10:40:00,11:20:00,00:40:00
trip_26,7,CSB,SVM,9.7,11:25:00,12:05:00,00:40:00
trip_27,8,SVM,CSB,9.7,12:10:00,12:40:00,00:30:00
trip_28,9,CSB,KRP,24.1,12:45:00,14:00:00,01:15:00
trip_29,10,KRP,BMT-29,0.4,14:00:00,14:05:00,00:05:00
trip_30,11,BMT-29,KRP,0.4,15:05:00,15:10:00,00:05:00
trip_31,12,KRP,CSB,24.1,15:15:00,16:30:00,01:15:00
trip_32,13,CSB,SVM,9.7,16:35:00,17:15:00,00:40:00
trip_33,14,SVM,CSB,9.7,17:20:00,18:00:00,00:40:00
trip_34,15,CSB,SVM,9.7,18:05:00,18:45:00,00:40:00
trip_35,16,SVM,CSB,9.7,18:50:00,19:30:00,00:40:00
trip_36,17,CSB,SVM,9.7,20:00:00,20:45:00,00:45:00
trip_37,18,SVM,CSB,9.7,20:50:00,21:25:00,00:35:00
trip_38,19,CSB,SVM,9.7,21:30:00,22:10:00,00:40:00
trip_39,20,SVM,CSB,9.7,22:15:00,22:55:00,00:40:00
trip_40,1,CSB,SVM,9.7,07:00:00,07:40:00,00:40:00
trip_41,2,SVM,CSB,9.7,07:45:00,08:25:00,00:40:00
trip_42,3,CSB,SVM,9.7,08:30:00,09:10:00,00:40:00
trip_43,4,SVM,CSB,9.7,09:15:00,09:55:00,00:40:00
trip_44,5,CSB,SVM,9.7,10:00:00,10:40:00,00:40:00
trip_45,6,SVM,CSB,9.7,11:10:00,11:50:00,00:40:00
trip_46,7,CSB,SVM,9.7,11:55:00,12:35:00,00:40:00
trip_47,8,SVM,CSB,9.7,12:40:00,13:10:00,00:30:00
trip_48,9,CSB,KRP,24.1,13:15:00,14:30:00,01:15:00
trip_49,10,KRP,BMT-29,0.4,14:30:00,14:35:00,00:05:00
trip_50,11,BMT-29,KRP,0.4,15:35:00,15:40:00,00:05:00
trip_51,12,KRP,CSB,24.1,15:45:00,17:00:00,01:15:00
trip_52,13,CSB,SVM,9.7,17:05:00,17:45:00,00:40:00
